track_name,artist(s)_name,released_year,released_month,released_day,streams,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%,album_art_url
Those Eyes,New West,2019,5,10,411747614,60,24,35,73,31,3,https://i.scdn.co/image/ab67616d0000b2731bb5dc21200bfc56d8f7ef41
El Gordo Trae El Mando,Chino Pacas,2023,1,27,255932395,74,96,80,18,5,5,https://i.scdn.co/image/ab67616d0000b2736a6ab689151163a1e9f60f36
Mi Bello Angel,Natanael Cano,2023,6,30,31873544,81,90,77,1,9,5,https://i.scdn.co/image/ab67616d0000b273e2e093427065eaca9e2f2970
Bye,Peso Pluma,2023,5,26,95053634,78,70,81,57,10,5,https://i.scdn.co/image/ab67616d0000b27310c8a001a18fd9f1b3552a9d
Danza Kuduro,"Don Omar, Lucenzo",2010,1,1,1279434863,47,86,92,8,5,24,https://i.scdn.co/image/ab67616d0000b2734640a26eb27649006be29a94
Nosso Quadro,"Ana Castela, AgroPlay",2023,2,2,233801632,69,61,71,33,31,20,
Locked Out Of Heaven,Bruno Mars,2012,12,5,1481349984,73,87,70,6,28,5,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",2023,4,4,142095275,50,85,52,11,28,6,https://i.scdn.co/image/ab67616d0000b273fc9ce77ab8fcd9eadda3acd3
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2022,6,17,618885532,54,40,67,0,9,17,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37
Counting Stars,OneRepublic,2013,1,1,2011464183,66,48,71,6,12,4,https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb
Ghost,Justin Bieber,2021,3,19,1167330737,61,41,74,21,40,6,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431
Under The Influence,Chris Brown,2019,10,4,929964809,73,31,69,6,11,4,https://i.scdn.co/image/ab67616d0000b2739a494f7d8909a6cc4ceb74ac
PRC,"Natanael Cano, Peso Pluma",2023,1,23,436027885,78,89,83,10,12,5,
Gasolina,Daddy Yankee,2004,7,13,657723613,86,74,80,33,8,6,https://i.scdn.co/image/ab67616d0000b2736bdcdf82ecce36bff808a40c
One Dance,"Drake, WizKid, Kyla",2016,4,4,2713922350,77,36,63,1,36,5,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c
Enchanted,Taylor Swift,2010,1,1,621660989,45,24,62,8,16,3,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
Save Your Tears,The Weeknd,2020,3,20,1591223784,68,61,82,2,50,3,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
Sure Thing,Miguel,2010,5,25,950906471,68,51,60,3,19,10,https://i.scdn.co/image/ab67616d0000b273d5a8395b0d80b8c48a5d851c
Every Breath You Take - Remastered 2003,The Police,1983,1,6,1593270737,82,73,45,54,7,3,https://i.scdn.co/image/ab67616d0000b2730408dc279dd7c7354ff41014
The Night We Met,Lord Huron,2015,2,2,1410088830,45,10,37,97,64,4,https://i.scdn.co/image/ab67616d0000b2739d2efe43d5b7ebc7cb60ca81
We Found Love,"Rihanna, Calvin Harris",2011,1,1,1235005533,73,60,77,3,11,4,https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46
When I Was Your Man,Bruno Mars,2012,12,5,1661187319,60,43,27,94,14,4,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46
Let Me Down Slowly,Alec Benjamin,2018,5,25,1374581173,65,51,55,73,14,3,https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",2023,6,2,94186466,60,13,53,4,21,4,
Do I Wanna Know?,Arctic Monkeys,2013,1,1,1788326445,55,42,53,17,22,3,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
Demons,Imagine Dragons,2012,1,1,1840364617,33,38,71,20,28,5,https://i.scdn.co/image/ab67616d0000b273b2b2747c89d2157b0b29fb6a
,YOASOBI,2023,4,12,143573775,57,84,94,11,37,9,
Reminder,The Weeknd,2016,11,25,684675814,71,40,50,16,16,22,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452
Shake It Off,Taylor Swift,2014,1,1,1113838873,65,95,80,5,41,16,https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac
Why'd You Only Call Me When You're High?,Arctic Monkeys,2013,1,1,1267333350,70,81,63,4,8,4,
SNAP,Rosa Linn,2022,3,19,726307468,56,53,64,11,45,6,https://i.scdn.co/image/ab67616d0000b2731391b1fdb63da53e5b112224
Shape of You,Ed Sheeran,2017,1,6,3562543890,83,93,65,58,9,8,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
Night Changes,One Direction,2014,11,17,1131090940,67,40,52,86,12,4,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4
