track_name,artist(s)_name,released_year,released_month,released_day,streams,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%,album_art_url
Hey Mor,"Ozuna, Feid",2022,10,6,674072710,90,40,59,0,10,29,https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45
Yellow,Chris Molitor,1999,1,1,1755214421,43,28,66,0,23,3,https://i.scdn.co/image/ab67616d0000b273be011d16b9360a7dee109774
Karma,Taylor Swift,2022,10,21,404562836,64,10,62,7,48,7,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
People,Libianca,2022,12,2,373199958,59,71,42,55,10,7,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735
Overdrive,Post Malone,2023,7,14,14780425,56,48,73,0,35,4,https://i.scdn.co/image/ab67616d0000b27372694fed173af6d24d22eefb
Enchanted (Taylor's Version),Taylor Swift,2023,7,7,39578178,51,22,53,1,15,3,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
BABY HELLO,"Rauw Alejandro, Bizarrap",2023,6,23,54266102,77,84,89,17,43,5,https://i.scdn.co/image/ab67616d0000b273f79b1ab5cd74db6a2d7c1fda
Heat Waves,Glass Animals,2020,6,28,2557975762,76,53,53,44,9,9,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464
golden hour,JVKE,2022,7,15,751134527,51,14,59,65,25,3,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954
Sweater Weather,The Neighbourhood,2012,5,14,2282771485,61,41,81,5,10,3,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2022,7,6,1356565093,62,55,78,1,23,4,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf
Viva La Vida,Coldplay,2008,1,1,1592909789,49,42,62,9,11,3,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e
Here With Me,d4vd,2022,7,17,635412045,58,27,48,50,12,3,https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2022,9,22,1230675890,71,24,47,1,27,9,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4
Yandel 150,"Yandel, Feid",2022,12,20,585695368,78,58,73,5,10,7,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700
CORAZ  N VA,Maria Becerra,2023,6,22,43857627,68,40,79,33,30,6,https://i.scdn.co/image/ab67616d0000b27323dd8d0f54672fbf34c0fde8
Riptide,Vance Joy,1975,1,1,2009094673,48,50,73,43,15,4,https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2022,4,22,600976848,34,32,57,78,20,3,
Novidade na  ,"Mc Livinho, DJ Matt D",2023,6,23,39709092,63,36,34,76,35,9,https://i.scdn.co/image/ab67616d0000b273369c960fed23353176da1218
Back To December (Taylor's Version),Taylor Swift,2023,7,7,39228929,50,20,64,1,12,3,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
